POINTID,Bdfine (g cm-3),SOCS (kg cm-2),coarse_vol,GPS_LAT,GPS_LONG,BDfine  method 
27381902,1.16 ,3.51 ,0.06 ,38.48989142,-8.217254276,Measurement
51124252,0.43 ,8.34 ,0.01 ,60.63407607,24.52969335,Measurement
30302302,1.19 ,2.76 ,0.07 ,42.59665505,-5.811704365,Measurement
31782310,0.88 ,5.83 ,0.03 ,42.93139036,-4.053312183,Measurement
36522208,0.72 ,7.40 ,0.10 ,42.65164341,1.84910104,Measurement
33782872,0.99 ,8.20 ,0.02 ,48.22537983,-2.758678284,Measurement
49385056,1.00 ,4.40 ,0.07 ,68.02935512,24.75711223,Measurement
35062104,1.18 ,2.65 ,0.07 ,41.56310586,0.237419229,Measurement
38083026,1.01 ,1.90 ,0.05 ,50.11990026,2.814390396,Measurement
30721702,1.06 ,1.77 ,0.06 ,37.35647901,-4.075566102,Measurement
28642186,0.99 ,2.84 ,0.14 ,41.24801479,-7.485892281,Measurement
36282504,0.99 ,5.02 ,0.04 ,45.27785367,1.158484004,Measurement
49063030,1.07 ,4.30 ,0.03 ,50.08787574,18.19315139,Measurement
31301938,0.87 ,0.96 ,0.10 ,39.55252581,-3.865152621,Measurement
46744684,1.13 ,3.53 ,0.06 ,65.09342654,17.47507747,Measurement
46723066,1.16 ,2.90 ,0.00 ,50.59872549,14.96166134,Measurement
50382730,1.38 ,3.61 ,0.03 ,47.2690803,19.4974925,Measurement
32042180,1.10 ,3.23 ,0.08 ,41.82208972,-3.475284759,Measurement
49682686,0.88 ,12.09 ,0.02 ,46.95274405,18.51335534,Measurement
34662148,1.31 ,2.93 ,0.05 ,41.90887973,-0.303344771,Measurement
31782094,1.25 ,2.13 ,0.11 ,41.0167423,-3.612063983,Measurement
51023502,1.04 ,1.36 ,0.02 ,54.04102047,21.98278013,Measurement
56142132,1.13 ,2.36 ,0.09 ,41.09391037,25.44469365,Measurement
52303734,1.47 ,4.79 ,0.04 ,55.87374543,24.62980747,Measurement
51024492,1.12 ,6.39 ,0.04 ,62.75770159,25.35999015,Measurement
27321748,0.88 ,9.51 ,0.06 ,37.12302697,-7.917530136,Measurement
35642110,1.21 ,5.25 ,0.03 ,41.68211794,0.918488866,Measurement
48703210,1.18 ,2.89 ,0.03 ,51.73026422,17.96444667,Measurement
51583590,1.22 ,3.81 ,0.03 ,54.73116263,23.07119101,Measurement
50824382,0.68 ,4.41 ,0.03 ,61.8307965,24.50823399,Measurement
45923270,1.33 ,4.42 ,0.01 ,52.47242904,13.99031145,Measurement
45922694,0.66 ,7.00 ,0.08 ,47.30060871,13.58221638,Measurement
31381934,0.87 ,0.96 ,0.05 ,39.53007414,-3.766046686,Measurement
50063158,1.27 ,2.90 ,0.02 ,51.11828485,19.81696245,Measurement
49042854,1.44 ,4.75 ,0.01 ,48.51784737,17.90590567,Measurement
30342234,1.15 ,2.72 ,0.10 ,42.00501414,-5.605082643,Measurement
36342154,0.36 ,10.49 ,0.10 ,42.14946094,1.698649408,Measurement
53483700,1.21 ,5.41 ,0.05 ,55.3496022,26.34453486,Measurement
